ts,symbol,positionSide,positionAmt,entryPrice,pnl_unrealized,updateTime_iso
2025-09-02T11:22:42.055359,PUMPUSDT,BOTH,-313187.0,0.003747,-0.61384652,2025-09-02T10:29:00.246000+03:00
2025-09-02T11:22:42.055359,DOLOUSDT,BOTH,6073.0,0.208979,1.044556,2025-09-02T11:15:27.369000+03:00
2025-09-02T22:18:31.938713,PYTHUSDT,BOTH,8249.0,0.15839,-10.12284284,2025-09-02T20:00:53.493000+03:00
2025-09-02T22:18:31.938713,MYXUSDT,BOTH,-1074.0,1.1942,-9.3438,2025-09-02T20:02:50.345000+03:00
2025-09-02T22:19:31.629162,PYTHUSDT,BOTH,8249.0,0.15839,-9.62460324,2025-09-02T20:00:53.493000+03:00
2025-09-02T22:19:31.629162,MYXUSDT,BOTH,-1074.0,1.1942,-8.32954662,2025-09-02T20:02:50.345000+03:00
