ts,chunk_id,symbol,positionSide,open_time_iso,pnl_unrealized
2025-09-02T11:22:42.057355,1,PUMPUSDT,BOTH,2025-09-02T10:29:00.246000+03:00,-0.61384652
2025-09-02T11:22:42.057355,1,DOLOUSDT,BOTH,2025-09-02T11:15:27.369000+03:00,1.044556
